id;kata_slang;kata_benar
1248;sebelom;sebelum
1249;waspadalah;waspada
1250;our;kami
1251;bokep;porno
1252;cayalah;percaya
1253;gantengsaya;ganteng
1254;bajir;banjir
1255;parte;partai
1256;nyalahin;salah
1257;nyerang;serang
1258;dzolim;zalim
1259;nipu;tipu
1260;mnipu;tipu
1261;ktipu;tipu
1262;valid;sah
1263;jentelmen;berani
1264;buzzerbuzzer;buzzer
1265;buangbuang;buang
1266;tsk;tersangka
1267;tsangka;tersangka
1268;dungu;bodoh
1269;lemot;lambat
1270;capek;lelah
1271;kurng;kurang
1272;bajir;banjir
1273;ista;nista
1274;istaa;nista
1275;less;kurang
1276;bebal;bodoh
1277;koar;teriak
1278;muna;munafik
1279;lelet;lambat
1280;naas;nahas
1281;paranoid;takut
1282;parno;takut
1283;problem;masalah
1284;puyeng;pusing
1285;songong;sombong
1286;taik;kotoran
1287;tahi;kotoran
1288;tai;kotoran
1289;tirani;tiran
1290;pls;tolong
1291;tilep;tilap
1292;accord;sesuai
1293;happy;bahagia
1294;irit;hemat
1295;tak;tidak
1296;semau;asal
1297;mbual;bual
1298;mantabss bagus;
1299;penertiban;tertib
1300;orange;oranye
1301;uasai;kuasa
1302;vote;pilih
1303;mnolak;tolak
1304;menolak;tolak
1305;trending;trend
1306;presh;segar
1307;taik;tahi
1308;serasiii;serasi
1309;wkwkkw;tertawa
1310;soft;halus
1311;setting;atur
1312;angis;nangis
1313;ahokncc;ahok
1314;almaidahyg;almaidah
1315;istaa;nista
1316;benarjujur;benar
1317;benarjujur;jujur
1318;sayan;sayang
1319;mgkin;mungkin
1320;&;dan
1321;+;tambah
1322;/;atau
1323;=;sama dengan
1324;ababil;anak ingusan
1325;abal2;palsu
1326;abal;palsu
1327;ad;ada
1328;akooh;aku
1329;alay;norak
1330;albm;album
1331;ampe;sampai
1332;anjir;waw
1333;anyway;ngomong-ngomong
1334;aq;aku
1335;asap;secepatnya
1336;ato;atau
1337;atw;atau
1338;ava;foto profil
1339;baget;keras kepala
1340;baper;bawa perasaan
1341;bapuk;rusak
1342;bcr;bicara
1343;bebeb;pacar
1344;begin;awal
1345;bejibun;bertumpuk banyak
1346;bener;benar
1347;ber2;berdua
1348;ber3;bertiga
1349;better;lebih baik
1350;bf;pacar
1351;bgt;banget
1352;bhas;bahas
1353;bhg;bahagia
1354;bikin;buat
1355;binggo;banget
1356;bingit;banget
1357;bklan;bakalan
1358;bkn;bukan
1359;blg;bilang
1360;bnr;benar
1361;bnyk;banyak
1362;br;baru
1363;brb;akan segera kembali
1364;brjaya;berjaya
1365;bs;bisa
1366;bsk;besok
1367;btw;ngomong-ngomong
1368;cm;cuma
1369;cmiiw;koreksi saya
1370;cnt;cinta
1371;congrats;selamat
1372;crop;potong
1373;cya;sampai jumpa lagi
1374;d;di
1375;da;ada
1376;dafuk;kurang ajar
1377;damat;tidak peduli
1378;dempa;demi apa
1379;dgn;dengan
1380;dkt;dekat
1381;dlm;dalam
1382;dlu;dulu
1383;dmn;dimana
1384;dpt;dapat
1385;dr;dari
1386;drpd;daripada
1387;dsna;disana
1388;dugem;dunia gemerlap
1389;elo;kamu
1390;elu;kamu
1391;emg;memang
1392;epsd;episode
1393;fake;falsu
1394;fans;penggemar
1395;fans;penggemar
1396;faq;pertanyaan umum
1397;fham;paham
1398;fhm;paham
1399;fix;pasti
1400;ft;foto
1401;fyi;asal tahu saja
1402;g;tidak
1403;ga;tidak
1404;gaada;tidak ada
1405;gabut;gaji buta
1406;gada;tidak ada
1407;gajebo;tidak jelas
1408;gak;tidak
1409;galau;bimbang
1410;garing;hambar
1411;gatau;tidak tahu
1412;geje;tidak jelas
1413;gengges;ganggu
1414;gf;pacar
1415;ggl;gagal
1416;gk;tidak
1417;gmn;bagaimana
1418;gmpng;gampang
1419;gogon;go internasional
1420;gokil;gila
1421;gpp;tidak apa-apa
1422;grammar;tata bahasa
1423;gt;gitu
1424;gue;aku
1425;gw;aku
1426;gw;aku
1427;hacep;pesta pora
1428;hater;pembenci
1429;haters;pembenci
1430;hdp;hidup
1431;hdr;hadir
1432;hit;terpopuler
1433;hits;terkini
1434;hoax;palsu
1435;ig;instagram
1436;indo;indonesia
1437;iow;dengan kata lain
1438;ipon;iphone
1439;jd;jadi
1440;jdi;jadi
1441;jdnya;jadinya
1442;jg;juga
1443;jgan;jangan
1444;jgn;jangan
1445;jl;jalan
1446;jln;jalan
1447;jls;jelas
1448;jutek;galak
1449;kamseupay;kampungan
1450;karn;karena
1451;kbr;kabar
1452;kca;kaca
1453;keknya;kayaknya
1454;keles;kali
1455;keleus;kali
1456;kepo;penasaran
1457;kgk;kagak
1458;kicep;diam
1459;kipak;bohong
1460;kk;kakak
1461;kl;kalau
1462;klo;kalau
1463;klon;duplikat
1464;klrg;keluarga
1465;klu;kalau
1466;km;kamu
1467;kmn;kemana
1468;kmrn;kemarin
1469;kn;kan
1470;knp;kenapa
1471;kongkow;kumpul-kumpul
1472;kpd;kepada
1473;kpn;kapan
1474;krn;karena
1475;krna;karena
1476;ktny;katanya
1477;kumkeb;kumpul kebo
1478;kyk;kayak
1479;kzl;kesal
1480;lebay;berlebihan
1481;lebeh;berlebihan
1482;lg;lagi
1483;lgs;langsung
1484;liat;lihat
1485;lnjut;lanjut
1486;lo;kamu
1487;lol;tertawa
1488;love;cinta
1489;lwt;lewat
1490;maaci;terima kasih
1491;mabok;mabuk
1492;mager;malas gerak
1493;maharani;mahal
1494;maho;homoseksual
1495;mainstream;sangat umum
1496;males;malas
1497;mcm;macam
1498;mehong;mahal
1499;meneketehe;tidak tahu
1500;menel;centil
1501;mgkn;mungkin
1502;mimin;admin
1503;minn;admin
1504;mkn;makan
1505;mksd;maksud
1506;mlm;malam
1507;mlm;malam
1508;mls;malas
1509;mmg;memang
1510;modus;maksud lain
1511;mrk;mereka
1512;mrka;mereka
1513;much;lebih
1514;mure;murah
1515;mw;mau
1516;n;dan
1517;ngeh;paham
1518;ngeuh;paham
1519;nggak;tidak
1520;nggu;menunggu
1521;ngk;tidak
1522;nic;penggemar agnezmo
1523;nice;bagus
1524;nicong;penggemar agnezmo
1525;nmr;nomor
1526;nongkrong;kumpul-kumpul
1527;ntn;nonton
1528;nyungsep;jatuh
1529;official;resmi
1530;olh;oleh
1531;or;atau
1532;org;orang
1533;pa;apa
1534;pake;pakai
1535;palbis;paling bisa
1536;pcr;pacar
1537;pcran;pacaran
1538;pd;pada
1539;pdhal;padahal
1540;peres;palsu
1541;pg;pagi
1542;pgg;pegang
1543;php;pemberi harapan palsu
1544;pk;pakai
1545;plg;pulang
1546;pls;tolong
1547;pnh;pernah
1548;pntg;penting
1549;pny;punya
1550;prasmul;perasaan saja
1551;prcya;percaya
1552;prnh;pernah
1553;pst;pesat
1554;recokin;ganggu
1555;rempong;repot
1556;ri;republik indonesia
1557;rotfl;tertawa
1558;sabeb;bebas
1559;schedule;jadwal
1560;sdh;sudah
1561;sdh;sudah
1562;selow;santai
1563;sgt;sangat
1564;sgt;sangat
1565;sgtu;segitu
1566;sgtuny;segitunya
1567;sh;masih
1568;sjjurny;sejujurnya
1569;skali;sekali
1570;skrg;sekarang
1571;slh;salah
1572;sll;selalu
1573;sm;sama
1574;smg;semoga
1575;smga;semoga
1576;smw;semua
1577;smwnya;semuanya
1578;stage;panggung
1579;stj;setuju
1580;stuju;setuju
1581;sy;saya
1582;sya;saya
1583;syg;sayang
1584;td;tadi
1585;tdk;tidak
1586;tengsin;malu
1587;thn;tahun
1588;tik;cantik
1589;tkt;takut
1590;tp;tapi
1591;tpii;tapi
1592;trs;terus
1593;trus;terus
1594;ttg;tentang
1595;ttp;tetap
1596;tw;tau
1597;typo;salah tulis
1598;u;you
1599;unyu;menggemaskan
1600;with;dengan
1601;woles;santai
1602;wtf;apa-apaan
1603;x;kali
1604;y;ya
1605;yg;yang
